src_id,dst_id
0,1
1,0
2,30
0,1
1,0
2,30
2,30
0,1
1,0
3,30
3,30
3,30
0,1
1,0
3,30
4,30
0,1
1,0
5,7
0,5
0,31
0,1
1,0
6,30
3,30
7,30
8,30
7,30
8,30
8,30
7,30
8,30
7,30
9,32
9,32
10,30
9,32
9,32
9,32
9,32
9,32
9,32
9,32
9,32
4,30
9,32
9,32
3,30
0,1
1,0
0,1
1,0
2,30
2,30
7,30
0,1
1,0
7,30
7,30
7,30
7,30
7,30
0,1
1,0
7,30
0,1
1,0
7,30
3,30
7,30
7,30
0,1
1,0
0,1
1,0
7,30
7,30
7,30
7,30
7,30
7,30
7,30
11,30
7,30
3,30
7,30
7,30
0,1
1,0
7,30
7,30
0,1
1,0
7,30
7,30
0,1
1,0
0,1
1,0
7,30
7,30
0,1
1,0
7,30
7,30
12,33
12,33
12,33
12,33
12,33
12,33
12,33
12,33
12,33
12,33
12,33
12,33
12,33
12,33
12,33
12,33
7,30
12,33
12,33
3,30
7,30
0,1
1,0
7,30
7,30
7,30
7,30
0,1
1,0
0,1
6,22
3,30
0,1
1,0
0,1
1,0
0,1
1,0
3,30
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
0,1
1,0
3,30
0,1
1,0
1,0
0,1
0,1
1,0
3,30
10,30
3,30
3,30
3,30
3,30
0,1
1,0
0,20
0,1
1,0
0,34
0,35
0,36
0,37
0,38
0,13
13,0
0,39
0,40
0,41
0,42
0,43
0,44
0,1
1,0
0,45
0,46
0,47
0,47
0,47
0,14
14,0
3,30
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,47
0,47
0,47
0,35
0,1
0,36
0,34
1,0
0,37
0,1
1,0
0,45
0,35
0,36
0,1
1,0
0,37
0,1
1,0
0,36
0,36
0,1
1,0
0,1
1,0
0,47
0,47
0,47
0,1
1,0
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,48
0,48
0,1
1,0
0,48
0,48
0,48
0,1
1,0
3,30
0,1
1,0
15,49
0,1
1,0
0,1
1,0
0,1
1,0
5,30
16,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
6,30
10,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
2,30
2,30
2,30
0,1
1,0
0,1
1,0
3,30
3,30
3,30
10,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
10,30
0,1
1,0
0,1
1,0
4,30
3,30
17,30
0,1
1,0
0,50
0,50
0,50
0,1
1,0
0,1
0,50
0,50
0,50
0,1
1,0
11,30
2,30
2,30
0,30
11,30
3,30
0,1
1,0
0,1
18,30
0,1
1,0
10,30
0,1
1,0
0,1
1,0
3,30
0,1
1,0
19,30
0,1
1,0
0,1
1,0
5,51
0,5
0,1
1,0
0,1
1,0
11,30
6,30
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
3,30
3,30
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
0,1
1,0
3,30
3,30
19,30
20,52
0,1
1,0
0,20
0,1
1,0
0,40
0,39
0,13
13,0
0,53
0,36
0,34
0,45
0,35
0,38
0,37
0,43
0,14
14,0
0,47
0,47
0,47
0,44
0,1
1,0
0,46
0,42
3,30
3,30
3,30
16,30
0,1
1,0
0,34
0,1
1,0
0,37
0,45
0,35
0,1
1,0
0,47
0,47
0,47
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
2,30
2,30
2,30
2,30
0,1
1,0
0,1
1,0
0,43
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,48
0,48
0,48
0,48
0,48
0,48
0,1
1,0
0,1
1,0
0,1
0,1
1,0
5,30
0,1
1,0
16,30
18,30
0,1
1,0
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
3,30
3,30
0,1
1,0
3,30
0,1
1,0
0,1
1,0
10,30
19,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
21,22
0,1
1,0
0,1
1,0
0,50
0,50
0,50
0,1
1,0
15,49
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
22,30
22,30
22,30
22,30
22,30
22,30
22,30
22,30
22,30
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
0,1
1,0
11,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
0,1
1,0
23,22
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
1,0
0,1
3,30
0,1
1,0
0,1
1,0
0,1
1,0
3,30
0,1
1,0
0,1
1,0
0,1
1,0
0,1
0,1
1,0
0,1
1,0
0,1
1,0
3,30
1,0
0,1
3,30
3,30
0,1
1,0
0,45
0,1
1,0
0,1
1,0
0,1
1,0
3,30
10,30
3,30
5,54
3,30
19,30
24,30
2,30
2,30
2,30
3,30
5,30
16,30
3,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
8,30
17,30
8,30
3,30
2,30
2,30
3,30
3,30
3,30
3,30
6,30
25,55
26,30
10,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
3,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
10,30
27,30
27,30
27,30
27,30
27,30
3,30
2,30
27,30
2,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
3,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
3,30
27,30
27,30
27,30
27,30
27,30
23,22
27,30
27,30
5,56
0,30
27,30
27,30
27,30
27,30
27,30
3,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
3,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
3,30
19,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
28,0
28,0
27,30
28,0
27,30
27,30
27,30
27,30
3,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
10,30
27,30
27,30
27,30
27,30
27,30
3,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
28,0
28,0
28,0
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
3,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
3,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
27,30
3,30
27,30
27,30
2,30
2,30
27,30
27,30
2,30
27,30
27,30
27,30
0,1
1,0
0,48
0,48
0,48
0,48
0,48
0,48
0,1
1,0
10,30
27,30
0,1
1,0
0,34
0,1
1,0
0,1
1,0
3,30
27,30
0,1
1,0
0,1
1,0
10,30
27,30
0,1
1,0
27,30
27,30
27,30
5,30
0,1
1,0
27,30
27,30
0,1
1,0
0,1
1,0
27,30
0,1
1,0
0,1
1,0
0,1
1,0
27,30
10,30
0,1
1,0
27,30
0,1
1,0
27,30
0,1
1,0
0,1
1,0
0,1
1,0
27,30
27,30
0,1
1,0
27,30
27,30
0,1
1,0
10,30
27,30
27,30
0,1
1,0
27,30
27,30
0,1
1,0
27,30
27,30
27,30
0,1
1,0
0,1
1,0
27,30
18,30
27,30
3,30
27,30
27,30
0,1
1,0
0,1
1,0
27,30
2,30
2,30
2,30
27,30
27,30
6,30
27,30
27,30
27,30
27,30
27,30
27,30
3,30
3,30
3,30
27,30
0,1
1,0
0,1
1,0
0,1
1,0
27,30
0,1
1,0
0,37
0,48
0,48
0,48
0,48
0,48
0,48
0,48
0,48
0,1
1,0
0,47
0,47
0,47
0,1
1,0
0,45
0,45
0,45
0,1
1,0
0,42
0,44
0,1
1,0
0,1
1,0
0,47
0,47
0,47
0,1
0,40
0,36
0,34
0,57
0,35
1,0
27,30
0,1
1,0
27,30
0,1
1,0
27,30
27,30
0,1
1,0
6,30
27,30
27,30
27,30
0,1
1,0
0,1
1,0
27,30
0,1
1,0
27,30
27,30
27,30
27,30
27,30
27,30
0,1
1,0
0,1
1,0
0,1
1,0
27,30
27,30
27,30
0,1
1,0
27,30
5,58
27,30
27,30
0,1
1,0
27,30
27,30
27,30
3,30
27,30
10,30
27,30
27,30
0,1
1,0
0,1
0,1
1,0
27,30
6,30
27,30
27,30
0,1
1,0
0,1
1,0
27,30
0,1
1,0
27,30
27,30
27,30
0,1
1,0
27,30
27,30
0,1
1,0
3,30
27,30
0,1
1,0
27,30
27,30
27,30
0,1
1,0
0,1
1,0
27,30
27,30
0,1
1,0
0,1
1,0
27,30
0,1
1,0
27,30
0,1
1,0
27,30
27,30
11,30
27,30
27,30
3,30
27,30
0,1
1,0
27,30
27,30
1,0
0,1
27,30
0,1
1,0
27,30
0,1
1,0
1,0
0,1
27,30
27,30
27,30
27,30
27,30
16,30
27,30
27,30
3,30
27,30
27,30
27,30
27,30
27,30
27,30
29,59
27,30
29,59
27,30
27,30
0,1
1,0
27,30
0,1
1,0
27,30
0,1
1,0
27,30
3,30
27,30
27,30
0,1
1,0
27,30
27,30
27,30
27,30
0,1
1,0
27,30
27,30
27,30
0,1
1,0
27,30
0,1
1,0
27,30
0,1
1,0
27,30
29,59
3,30
27,30
27,30
27,30
27,30
27,30
